id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,label
1,2.31,1.04,0.45,3.21,-0.12,1.87,0.56,-0.89,2.34,1.12,0
2,-1.23,0.87,2.10,0.56,1.23,-0.45,3.12,-1.67,0.45,2.01,1
3,0.45,-2.10,1.34,-0.78,0.91,2.34,-0.23,1.56,-0.67,0.89,0
4,3.45,0.23,-1.56,2.01,-0.34,0.67,1.89,-0.45,1.23,0.56,1
5,-0.67,1.56,0.78,0.12,2.45,-1.23,0.34,2.78,-0.12,1.45,0
6,1.89,-0.45,3.12,-1.34,0.56,0.89,-2.01,0.23,1.67,-0.78,1
7,0.12,2.34,-0.23,1.67,-0.89,1.12,0.78,-1.56,0.34,2.67,0
8,-2.01,0.12,1.45,0.89,1.78,-0.67,2.34,0.12,-1.23,0.45,1
9,1.67,-1.78,0.12,-0.45,0.23,3.01,-0.56,1.89,0.78,-0.34,0
10,0.78,0.67,-2.34,1.12,-0.67,0.45,1.23,0.56,-0.89,1.78,1
11,2.10,-0.89,1.67,0.34,1.56,-0.12,0.45,-2.34,1.12,0.23,0
12,-0.34,1.23,0.89,-1.78,0.78,2.56,0.12,0.67,-0.45,1.34,1
13,1.56,0.45,-0.67,2.45,-0.23,0.78,1.89,0.34,-1.56,0.67,0
14,-1.12,2.67,0.23,0.78,-1.45,0.34,-0.89,1.23,2.01,-0.12,1
15,0.89,-0.56,2.01,-0.23,0.67,1.45,0.56,0.89,-0.34,2.34,0
16,3.12,0.78,-0.12,0.45,1.89,-0.89,-1.23,2.01,0.56,0.12,1
17,-0.45,1.89,0.56,-2.01,0.12,0.67,2.34,-0.78,1.23,0.89,0
18,1.23,-1.34,1.89,0.67,-0.56,2.12,0.78,0.45,-1.12,0.34,1
19,0.67,0.34,-1.89,1.23,0.89,-0.45,0.12,1.67,0.78,-1.78,0
20,-1.78,2.01,0.34,0.89,2.34,0.23,-0.67,0.56,-0.23,1.56,1
21,2.56,-0.23,1.12,-0.67,0.45,1.78,1.34,0.12,-0.89,0.78,0
22,0.34,1.12,-0.45,1.89,-1.12,0.89,0.67,2.34,0.45,-0.56,1
23,1.45,0.56,2.67,0.23,0.78,-0.34,-1.56,0.89,1.12,0.23,0
24,-0.89,0.23,0.78,-1.45,1.23,0.56,2.01,-0.12,0.67,1.89,1
25,0.56,-2.34,1.23,0.12,0.34,1.89,0.45,-0.67,2.12,0.56,0
